"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"322895","HOT DOGS BEEF BALL PARK ANGUS","2015-08-04","NA","NC1","NA","NA","NA","NA","ROANOKE RAPIDS","WALMART SUPERCENTER","NC","054500101750"
"322900","HOT DOGS BEEF BALL PARK ANGUS","NA","NA","GA1","NA","NA","NA","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","54500101750"
"322901","HOT DOGS BEEF BALL PARK ANGUS","NA","NA","GA1","NA","NA","NA","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","54500101750"
"322902","HOT DOGS BEEF BALL PARK ANGUS","NA","NA","GA1","NA","NA","NA","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","54500101750"
"322903","HOT DOGS BEEF BALL PARK ANGUS","2015-07-06","NA","NJ1","NA","NA","EST 6911 472","NA","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","54500101750"
"322904","HOT DOGS BEEF BALL PARK ANGUS","2015-07-06","NA","NJ1","NA","NA","EST 6911 472","NA","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","54500101750"
"322905","HOT DOGS BEEF BALL PARK ANGUS","2015-06-29","NA","NJ1","NA","NA","EST 6911 471","NA","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","54500101750"
"322911","HOT DOGS BEEF BALL PARK ANGUS","2015-07-17","NA","CA2","NA","NA","EST 756A 5 0704","NA","BONITA","VONS MARKET","CA","54500101750"
"322912","HOT DOGS BEEF BALL PARK ANGUS","2015-07-17","NA","CA2","NA","NA","EST 756A 5 0704","NA","BONITA","VONS MARKET","CA","54500101750"
"322913","HOT DOGS BEEF BALL PARK ANGUS","2015-07-17","NA","CA2","NA","NA","EST 756A 5 0704","NA","BONITA","VONS MARKET","CA","54500101750"
"322914","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","KY1","NA","NA","EST 756A 4 0859","NA","HARRODSBURG","WALMART SUPERCENTER","KY","54500101750"
"322915","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","KY1","NA","NA","EST 756A 4 0859","NA","HARRODSBURG","WALMART SUPERCENTER","KY","54500101750"
"322916","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","KY1","NA","NA","EST 756A 4 0859","NA","HARRODSBURG","WALMART SUPERCENTER","KY","54500101750"
"322921","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","NE1","NA","NA","EST 756A 4 0831","NA","HASTINGS","WALMART SUPERCENTER","NE","54500101750"
"322922","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","NE1","NA","NA","EST 756A 4 0831","NA","HASTINGS","WALMART SUPERCENTER","NE","54500101750"
"322923","HOT DOGS BEEF BALL PARK ANGUS","2015-08-06","NA","NE1","NA","NA","EST 756A 4 0831","NA","HASTINGS","WALMART SUPERCENTER","NE","54500101750"
"322924","HOT DOGS BEEF BALL PARK ANGUS","2015-08-26","NA","TX1","NA","NA","EST 6911 472","NA","HOUSTON","KROGER","TX","54500101750"
"322925","HOT DOGS BEEF BALL PARK ANGUS","2015-08-26","NA","TX1","NA","NA","EST 6911 472","NA","HOUSTON","KROGER","TX","54500101750"
"322926","HOT DOGS BEEF BALL PARK ANGUS","2015-08-26","NA","TX1","NA","NA","EST 6911 472","NA","HOUSTON","KROGER","TX","54500101750"
"322938","HOT DOGS BEEF BALL PARK ANGUS","2015-08-05","NA","CA1","NA","NA","EST 756A 4 1908","NA","PALMDALE","WALMART SUPERCENTER","CA","54500101750"
"322939","HOT DOGS BEEF BALL PARK ANGUS","2015-08-05","NA","CA1","NA","NA","EST 756A 4 1908","NA","PALMDALE","WALMART SUPERCENTER","CA","54500101750"
"322940","HOT DOGS BEEF BALL PARK ANGUS","2015-08-05","NA","CA1","NA","NA","EST 756A 4 1908","NA","PALMDALE","WALMART SUPERCENTER","CA","54500101750"
"322941","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","PA1","NA","NA","EST 756A 5 0804","NA","PITTSBURGH","SHOP N SAVE","PA","54500101750"
"322942","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","PA1","NA","NA","EST 756A 5 0829","NA","PITTSBURGH","SHOP N SAVE","PA","54500101750"
"322943","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","PA1","NA","NA","EST 756A 5 0829","NA","PITTSBURGH","SHOP N SAVE","PA","54500101750"
"322956","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-10","NA","IN1","NA","NA","T L3 7337 EST 537H 09:37","NA","NEWBURGH","SCHNUCK MARKET","IN","44700073377"
"322957","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-10","NA","IN1","NA","NA","T L3 7337 EST 537H 09:37","NA","NEWBURGH","SCHNUCK MARKET","IN","44700073377"
"322958","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-10","NA","IN1","NA","NA","T L3 7337 EST 537H 09:33","NA","NEWBURGH","SCHNUCK MARKET","IN","44700073377"
"322959","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-07-29","NA","AZ1","NA","NA","CM L2 7337 EST 537H 01:22","NA","TUCSON","SAFEWAY","AZ","44700073377"
"322960","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-07-29","NA","AZ1","NA","NA","CM L2 7337 EST 537H 01:21","NA","TUCSON","SAFEWAY","AZ","44700073377"
"322961","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-07-29","NA","AZ1","NA","NA","CM L2 7337 EST 537H 01:21","NA","TUCSON","SAFEWAY","AZ","44700073377"
"322966","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-26","NA","GA1","NA","NA","CM L2 7337 EST 537H 20:36","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","44700073377"
"322967","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-26","NA","GA1","NA","NA","CM L2 7337 EST 537H 20:36","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","44700073377"
"322968","HOT DOGS BEEF OSCAR MAYER PREMIUM JUMBO","2015-08-26","NA","GA1","NA","NA","CM L2 7337 EST 537H 20:36","NA","MCDONOUGH","PUBLIX SUPERMARKET","GA","44700073377"
"322973","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","AZ1","NA","NA","EST 756A 5 0630","NA","TUCSON","BASHAS MARKET","AZ","54500101750"
"322974","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","AZ1","NA","NA","EST 756A 5 0629","NA","TUCSON","BASHAS MARKET","AZ","54500101750"
"322975","HOT DOGS BEEF BALL PARK ANGUS","2015-07-31","NA","AZ1","NA","NA","EST 756A 5 0629","NA","TUCSON","BASHAS MARKET","AZ","54500101750"
"322976","HOT DOGS BEEF BALL PARK ANGUS","2015-08-04","NA","IN1","NA","NA","EST A5 1025","NA","NEWBURGH","WALMART","IN","54500101750"
"322977","HOT DOGS BEEF BALL PARK ANGUS","2015-08-04","NA","IN1","NA","NA","EST A5 1025","NA","NEWBURGH","SCHNUCK MARKET","IN","54500101750"
"322978","HOT DOGS BEEF BALL PARK ANGUS","2015-08-04","NA","IN1","NA","NA","EST A5 1025","NA","NEWBURGH","SCHNUCK MARKET","IN","54500101750"
